"id","slug","title","status","link","categories","is_tarot","cjk_run_count","cjk_char_count","cjk_classification","product_level","has_any_commerce_entry","specific_product_links","category_links","shop_links","product_shortcodes","woo_block_count"
"47830","tarot-the-magician-crystals","The Magician Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47830","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/citrine-crystals/ | /product-category/carnelian-crystals/ | /product-category/tiger-eye-crystals/ | /product-category/healing-jewelry/","/shop/?s=quartz | /shop/?s=smoky+quartz | /product-category/healing-jewelry/","[products category=""citrine-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47833","tarot-the-high-priestess-crystals","The High Priestess Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47833","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/selenite-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/labradorite-crystals/ | /product-category/healing-jewelry/","/shop/?s=moonstone | /shop/?s=smoky+quartz | /product-category/healing-jewelry/","[products category=""selenite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47836","tarot-the-empress-crystals","The Empress Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47836","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/rose-quartz-crystals/ | /product-category/aventurine-crystals/ | /product-category/carnelian-crystals/ | /product-category/healing-jewelry/ | /product-category/rhodonite-crystals/","/product-category/healing-jewelry/","[products category=""rose-quartz-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47839","tarot-the-emperor-crystals","The Emperor Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47839","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/red-jasper-crystals/ | /product-category/carnelian-crystals/ | /product-category/healing-jewelry/ | /product-category/rose-quartz-crystals/ | /product-category/tiger-eye-crystals/","/product-category/healing-jewelry/","[products category=""red-jasper-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47842","tarot-the-hierophant-crystals","The Hierophant Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47842","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/amethyst-crystals/ | /product-category/healing-jewelry/ | /product-category/carnelian-crystals/ | /product-category/rose-quartz-crystals/","/product-category/healing-jewelry/","[products category=""amethyst-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47845","tarot-the-lovers-crystals","The Lovers Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47845","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/rhodonite-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/ | /product-category/malachite-crystals/","/product-category/healing-jewelry/","[products category=""rhodonite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47848","tarot-the-chariot-crystals","The Chariot Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47848","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/hematite-crystals/ | /product-category/carnelian-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/tiger-eye-crystals/ | /product-category/healing-jewelry/","/product-category/healing-jewelry/","[products category=""hematite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47851","tarot-strength-crystals","Strength Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47851","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/tiger-eye-crystals/ | /product-category/healing-jewelry/ | /product-category/citrine-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/carnelian-crystals/","/product-category/healing-jewelry/","[products category=""tiger-eye-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47854","tarot-the-hermit-crystals","The Hermit Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47854","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/labradorite-crystals/ | /product-category/amethyst-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/","/shop/?s=smoky+quartz | /product-category/healing-jewelry/","[products category=""labradorite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47857","tarot-wheel-of-fortune-crystals","Wheel of Fortune Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47857","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/aventurine-crystals/ | /product-category/citrine-crystals/ | /product-category/obsidian-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/turquoise-crystals/ | /product-category/healing-jewelry/","/product-category/healing-jewelry/","[products category=""aventurine-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47860","tarot-justice-crystals","Justice Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47860","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/healing-jewelry/ | /product-category/carnelian-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/hematite-crystals/","/product-category/healing-jewelry/","[products category=""carnelian-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47863","tarot-the-hanged-man-crystals","The Hanged Man Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47863","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/selenite-crystals/ | /product-category/amethyst-crystals/ | /product-category/bloodstone-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/","/product-category/healing-jewelry/","[products category=""selenite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47866","tarot-death-crystals","Death Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47866","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/obsidian-crystals/ | /product-category/malachite-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/","/shop/?s=smoky+quartz | /product-category/healing-jewelry/","[products category=""obsidian-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47869","tarot-temperance-crystals","Temperance Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47869","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/amethyst-crystals/ | /product-category/healing-jewelry/ | /product-category/rose-quartz-crystals/","/product-category/healing-jewelry/ | /shop/?s=smoky+quartz","[products category=""amethyst-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47872","tarot-the-devil-crystals","The Devil Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47872","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/black-tourmaline-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/","/shop/?s=smoky+quartz | /shop/?s=quartz | /product-category/healing-jewelry/","[products category=""black-tourmaline-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47875","tarot-the-tower-crystals","The Tower Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47875","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/labradorite-crystals/ | /product-category/black-tourmaline-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/hematite-crystals/ | /product-category/healing-jewelry/","/shop/?s=smoky+quartz | /product-category/healing-jewelry/","[products category=""labradorite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47878","tarot-the-star-crystals","The Star Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47878","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/healing-jewelry/ | /product-category/selenite-crystals/ | /product-category/lepidolite-crystals/ | /product-category/rose-quartz-crystals/","/product-category/healing-jewelry/ | /shop/?s=moonstone","[products category=""selenite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47881","tarot-the-moon-crystals","The Moon Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47881","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/selenite-crystals/ | /product-category/labradorite-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/amethyst-crystals/ | /product-category/healing-jewelry/","/shop/?s=moonstone | /product-category/healing-jewelry/","[products category=""selenite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47884","tarot-the-sun-crystals","The Sun Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47884","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/healing-jewelry/ | /product-category/citrine-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/carnelian-crystals/","/product-category/healing-jewelry/ | /shop/?s=smoky+quartz","[products category=""citrine-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47887","tarot-judgment-crystals","Judgment Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47887","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/angelite-crystals/ | /product-category/citrine-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/selenite-crystals/ | /product-category/healing-jewelry/","/shop/?s=quartz | /product-category/healing-jewelry/","[products category=""angelite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47890","tarot-the-world-crystals","The World Tarot Card Meaning & Best Crystals","future","https://goearthward.com/?p=47890","Tarot","true","0","0","none","dynamic_product_module","true","","/product-category/selenite-crystals/ | /product-category/bloodstone-crystals/ | /product-category/rose-quartz-crystals/ | /product-category/healing-jewelry/","/shop/?s=quartz | /product-category/healing-jewelry/","[products category=""selenite-crystals"" limit=""4"" columns=""4"" orderby=""popularity""]","0"
"47892","crystals-for-tarot-cards","Crystals for Tarot Cards: Major Arcana Meanings & Stone Pairings","publish","https://goearthward.com/crystals-for-tarot-cards/","Tarot","true","0","0","none","dynamic_product_module","true","","","","[products limit=""4"" columns=""4"" orderby=""popularity""]","0"
